Measured X30cm	
-118.66875	50.90033207
-118.26875	50.90033207
-117.86875	51.07768514
-117.46875	51.07768514
-117.16875	51.25503822
-116.76875	51.25503822
-116.46875	51.25503822
-116.06875	51.43239129
-115.76875	51.43239129
-115.26875	51.43239129
-114.96875	51.43239129
-114.56875	51.60974436
-114.26875	51.60974436
-113.76875	51.78709744
-113.46875	51.78709744
-112.96875	51.96445051
-112.66875	52.14180358
-112.26875	52.14180358
-111.96875	52.14180358
-111.46875	52.31915666
-111.16875	52.31915666
-110.66875	52.49650973
-110.16875	52.49650973
-109.66875	52.67386281
-109.36875	52.67386281
-108.96875	52.67386281
-108.56875	52.85121588
-108.06875	52.85121588
-107.66875	53.02856895
-107.36875	53.02856895
-107.06875	53.02856895
-106.66875	53.20592203
-106.36875	53.20592203
-105.86875	53.3832751
-105.56875	53.3832751
-105.26875	53.56062817
-104.86875	53.56062817
-104.56875	53.73798125
-104.26875	53.73798125
-103.76875	53.91533432
-103.26875	53.91533432
-102.76875	54.09268739
-102.26875	54.09268739
-101.76875	54.27004047
-101.46875	54.27004047
-101.06875	54.27004047
-100.66875	54.44739354
-100.16875	54.62474661
-99.76875	54.62474661
-99.16875	54.80209969
-98.76875	54.80209969
-98.46875	54.97945276
-98.16875	54.97945276
-97.66875	55.15680583
-97.36875	55.15680583
-96.96875	55.33415891
-96.66875	55.33415891
-96.36875	55.33415891
-95.86875	55.51151198
-95.36875	55.68886505
-95.06875	55.68886505
-94.56875	55.86621813
-94.06875	55.86621813
-93.56875	56.0435712
-93.16875	56.0435712
-92.86875	56.0435712
-92.56875	56.22092427
-92.06875	56.22092427
-91.66875	56.22092427
-91.26875	56.39827735
-90.96875	56.39827735
-90.46875	56.57563042
-90.06875	56.57563042
-89.46875	56.75298349
-88.96875	56.93033657
-88.46875	57.10768964
-87.96875	57.10768964
-87.66875	57.28504271
-87.26875	57.28504271
-86.96875	57.28504271
-86.46875	57.28504271
-86.16875	57.46239579
-85.66875	57.46239579
-85.36875	57.46239579
-84.96875	57.63974886
-84.66875	57.81710193
-84.16875	57.99445501
-83.86875	57.99445501
-83.36875	58.17180808
-82.86875	58.17180808
